city,name,review_count,rating,category,attributes,longitude,latitude
Bangkok,Fit Forward,14,3.6,Fitness center,,100.57625,13.77875
Bangkok,Ratchadamri Gate Lumphini Park,30,4.2,State park,,100.538438,13.7331875
Bangkok,Wat Paknam Phasi Charoen,5910,4.6,Buddhist temple,Vast Buddhist temple complex featuring a towering stupa & numerous stone & glass sculptures.,100.470312,13.7218125
Bangkok,New Lumpinee Boxing Stadium,381,4.2,Muay Thai boxing gym,"Landmark Thai boxing stadium holding 9,500 spectators, opened since 2014.",100.608813,13.8670625
Bangkok,Tawanna,7896,4.2,Market,,100.641188,13.7669375
Bangkok,Chinese Clock Tower,7,4.6,Park,,100.543938,13.7276875
Bangkok,Snoopy world at central world,,,Tourist attraction,,100.538813,13.7468125
Bangkok,Chaipattana Water Aerator Memorial,20,4.1,Memorial park,,100.539063,13.7303125
Bangkok,Big Bee Farm Bangkok Rom Klao,,,Tourist attraction,,100.734563,13.7298125
Bangkok,The Royal Bangkok Sports Club,1814,4.5,Sports club,Fortnightly public-access horse races at an upscale equestrian track & sports club founded in 1901.,100.535063,13.7383125
Bangkok,Wat Krathum Suea Pla,2311,4.6,Buddhist temple,Canal-side temple with carp ponds & scores of gilded Buddha statues in decorative prayer halls.,100.688688,13.7229375
Bangkok,fun time islands,,,Country park,,100.561313,13.7375625
Bangkok,Birding in Bangkok,5,4.2,Bird watching area,,100.577813,13.7300625
Bangkok,Wat Bowonniwetwiharn Ratchaworawiharn,2963,4.7,Buddhist temple,Buddhist temple & monastery that has educated princes & holds statues dating to the 13th century.,100.499813,13.7603125
Bangkok,Siam Serpentarium,1228,4.2,Museum,"Wildlife center dedicated to snakes, with zoo enclosures, educational displays & performances.",100.823312,13.7104375
Bangkok,Art In Paradise,1401,4.4,Art museum,,100.569313,13.7665625
Bangkok,Liverpool Mural,,,Tourist attraction,,100.514437,13.7331875
Bangkok,Sampheng Market,7414,4.3,Market,"Bustling daytime Chinatown market packed with souvenirs, gadgets, fabrics, crafts & Asian snacks.",100.504313,13.7429375
Bangkok,Mural Art by Alex Face,3,4.3,Tourist attraction,,100.514937,13.7250625
Bangkok,Elephants by ROA in bangkok,3,4.3,Tourist attraction,,100.508938,13.7370625
Bangkok,Thailand Creative & Design Center TCDC,394,4.6,Learning center,"Innovative design & technology expo center for creatives, with a large library & exhibition space.",100.515562,13.7266875
Bangkok,Durga Mandir Bangkok,49,4.6,Hindu temple,,100.500188,13.7331875
Bangkok,The Artist's House,1032,4.5,Art cafe,"Centuries-old house turned gallery, with local artwork, photography & a puppet theater. · Dine-in · Takeout · Delivery",100.463312,13.7313125
Bangkok,Patpong Museum,177,4.8,Museum,,100.532187,13.7288125
Bangkok,The Japan Foundation Bangkok,73,4.5,Cultural center,,100.561563,13.7411875
Bangkok,MBK Center,25327,4.3,Shopping mall,"Sprawling shopping complex with over 2000 shops, restaurants, cafes & department stores.",100.530062,13.7448125
Bangkok,Wat Sutthi Wararam,1530,4.4,Buddhist temple,Temple complex featuring intricately gilded exteriors & a collection of contemporary Buddhist art.,100.513062,13.7124375
Bangkok,Bang Pa-In Palace,4471,4.4,Tourist attraction,"Opulent 19th-century palace used by the Thai royal family as a summer residence, open to visitors.",100.579063,14.2328125
Bangkok,Salil Journey Riverside,,,Tourist attraction,,100.507437,13.7081875
Bangkok,Wat Thepleela,2598,4.4,Buddhist temple,"Waterside Buddhist temple complex with elaborately decorated pagodas, popular for making merit.",100.614313,13.7591875
Bangkok,Wat Mahabut Mae Nak Phra Khanong,4891,4.6,Buddhist temple,"Riverside temple linked to a “ghost bride” legend, known for its shrine & lottery-ticket sellers.",100.606688,13.7148125
Bangkok,Srinagarindra Train Night Market,13326,4.4,Night market,"Bustling outdoor night market specializing in antiques & vintage memorabilia, plus bars & eateries.",100.651187,13.6939375
Bangkok,Tempravary Closed,16,4.6,Tourist attraction,,100.52875,13.72625
Bangkok,Bangkok Children's Discovery Museum II Thung Khru,101,4.4,Children's amusement center,,100.491563,13.6470625
Bangkok,BANGKOK CITYCITY GALLERY,340,4.4,Art gallery,Exhibition space in a minimalist white building with contemporary works by local & emerging artists.,100.544688,13.7235625
Bangkok,Chao Praya,,,Tourist attraction,,100.563438,13.7324375
Bangkok,SAC Gallery,167,4.6,Art museum,,100.570063,13.7396875
Bangkok,Wat Tridhosthep Worawihan,1391,4.4,Buddhist temple,"Quiet Buddhist temple known for its gilded stupas & roof spires, plus intricate murals & paintings.",100.502688,13.7625625
Bangkok,Nong Jok,,,Tourist attraction,,100.780938,13.9100625
Bangkok,Siriraj Medical Museum,279,4.3,Science museum,"Museum covering 5 separate medical areas: parasitology, pathology, anatomy, forensics & history.",100.485063,13.7588125
Bangkok,CAMP SAFARI,13,5.0,Tourist attraction,,100.700688,13.8699375
Bangkok,Phaya Thai Palace,762,4.6,Historical landmark,"Royal estate established in 1909, with multiple throne halls & lush grounds with fountains.",100.532938,13.7686875
Bangkok,BANGKOK ATV ADVENTURES @SUKSAWAT RAMA2,39,4.8,Tourist attraction,· Dine-in · Takeout,100.497437,13.6634375
Bangkok,Kamthieng House Museum,138,4.1,Museum,1848 teak farmhouse from northern Thailand showcasing traditional architecture & cultural artifacts.,100.561313,13.7393125
Bangkok,Dream World,12312,4.4,Amusement park,"Festive amusement park offering roller coasters & other rides, theater performances & restaurants.",100.674812,13.9876875
Bangkok,Santa Cruz Church,484,4.5,Catholic church,Catholic church founded by the Portuguese & rebuilt in the early 1900s in Renaissance Revival style.,100.49375,13.73875
Bangkok,Haroon Mosque ,431,4.7,Mosque,,100.514563,13.7255625
Bangkok,Ton Son Mosque,300,4.6,Mosque,,100.488563,13.7400625
Bangkok,The So Heng Tai Mansion,652,3.8,Heritage building,Striking 19th-century building featuring traditional Hokkien architecture & a courtyard with a pool.,100.512063,13.7336875
Bangkok,Khlong Lat Mayom Floating Market,8593,4.3,Floating market,Floating market & food venue with vendors in wooden boats filled with goods & souvenirs for sale.,100.415438,13.7615625
Bangkok,Yaowarat Chinatown Heritage Center,221,4.4,Local history museum,,100.513438,13.7375625
Bangkok,Wat Phra Sri Mahathat Woramahawihan,6639,4.5,Buddhist temple,,100.593438,13.8743125
Bangkok,Wat Makut Kasatriyaram Ratchaworawihan,2308,4.5,Buddhist temple,"Buddhist temple built for King Mongkut in the 1800s, decorated with crown symbols & paintings.",100.506688,13.7640625
Bangkok,The National Memorial,148,4.4,National museum,"Museum focused on the military, with exhibits on past wars, historical figures & soldiers.",100.621063,13.9520625
Bangkok,centralwOrld,53941,4.5,Shopping mall,"Shopping center with stores for beauty, fashion & technology, plus dining & family activities.",100.539188,13.7451875
Bangkok,Wat Mahathat Yuwaratrangsarit,1622,4.6,Buddhist temple,This ancient royal Buddhist temple with a reliquary is home to a university & meditation center.,100.490938,13.7551875
Bangkok,Chatuchak Park,4198,4.4,State park,"Verdant recreational space with broad, tree-lined jogging & cycling paths, flower beds & a big pond.",100.555438,13.8074375
Bangkok,The Suan Pakkad Palace,78,4.6,Museum,"Museum complex of 8 traditional teak houses, with displays of antiques, paintings & furniture.",100.537438,13.7568125
